Wordlist            Times               
beelzebul           3                   
been                1656                
beer                2                   
beer-elim           1                   
beer-lahai-roi      1                   
beer-sheba          33                  
beera               1                   
beerah              2                   
beeri               2                   
beeroth             7                   
beerothite          4                   
before              1969                
behaviour           104                 
being               342                 
beka                1                   
bel                 3                   
bela                11                  
belah               1                   
belait              1                   
belief              69                  
bell                6                   
belshazzar          8                   
belteshazzar        10                  
ben-ammi            1                   
ben-hadad           28                  
ben-hanan           1                   
ben-oni             1                   
benaiah             42                  
bene-berak          1                   
bene-jaakan         3                   
benhail             1                   
beninu              1                   
benjamin            170                 
benjamit            5                   
benjamite           7                   
benjamite.&gt       1                   
bent                76                  
beon                1                   
beor                10                  
bera                1                   
beracah             1                   
beraiah             1                   
berechiah           11                  
bered               2                   
beri                1                   
beriah              11                  
beriit              1                   
bernice             3                   
beroea              3                   
berothah            1                   
berothai            1                   
berothite           1                   
berry               2                   
beryl               13                  
beryl-ston          1                   
besai               2                   
besodeiah           1                   
besor               2                   
best                199                 
beten               1                   
beth-anath          3                   
beth-anoth          1                   
beth-arabah         3                   
beth-arbel          1                   
beth-aven           7                   
beth-azmaveth       1                   
beth-baal-meon      1                   
beth-biri           1                   
beth-car            1                   
beth-dagon          2                   
beth-diblathaim     1                   
beth-eked           1                   
beth-el             72                  
beth-emek           1                   
beth-ezel           1                   
beth-gader          1                   
beth-gamul          1                   
beth-gilgal         1                   
beth-haccherem      2                   
beth-haram          1                   
beth-haran          1                   
beth-hoglah         3                   
beth-horon          13                  
beth-jeshimoth      4                   
beth-le-aphrah      1                   
beth-lebaoth        1                   
beth-lehem          41                  
beth-lehem-judah    10                  
beth-lehemite       3                   
beth-maacah         2                   
beth-marcaboth      2                   
beth-meon           1                   
beth-millo          3                   
beth-nimrah         2                   
beth-pazzez         1                   
beth-pelet          2                   
beth-peor           4                   
beth-phage          3                   
beth-rehob          2                   
beth-saida          7                   
beth-shan           3                   
beth-shean          6                   
beth-shemesh        21                  
beth-shemite        2                   
beth-shittah        1                   
beth-tappuah        1                   
beth-zatha          1                   
beth-zur            4                   
bethany             12                  
bether              1                   
bethrapha           1                   
bethuel             10                  
bethul              1                   
betonim             1                   
better              182                 
better-looking      1                   
between             248                 
bezai               3                   
bezalel             9                   
bezek               2                   
bezer               5                   
bible               2                   
bichri              7                   
bichrit             1                   
bidkar              1                   
bigtha              1                   
bigthan             1                   
bigthana            1                   
bigvai              6                   
bildad              5                   
bileam              1                   
bilgah              3                   
bilgai              1                   
bilhah              11                  
bilhan              4                   
bilshan             2                   
bimhal              1                   
binea               2                   
binnui              7                   
bird                162                 
bird-like           2                   
bird-net            1                   
birsha              1                   
birth               341                 
birth-pain          10                  
birth-place         1                   
birthday            3                   
birthright          9                   
birzaith            1                   
bishlam             1                   
bishop              4                   
bit                 95                  
bite                7                   
bithiah             1                   
bithron             1                   
bithynia            2                   
biting              9                   
bitter              199                 
bitter-tasting      2                   
bitter-tongued      4                   
bitterly            13                  
bittern             1                   
biziothiah          1                   
biztha              1                   
black               36                  
blackberry          7                   
blacker             1                   
blackest            2                   
blad                5                   
blade               20                  
blastu              1                   
blessing            380                 
blind               86                  
blinding            2                   
blood               402                 
blood-red           1                   
blow                141                 
blower              1                   
blowing             19                  
blue                50                  
boanerg             1                   
board               62                  
boarded             2                   
boat                63                  
boatmen             3                   
boaz                27                  
bochim              2                   
body                567                 
body-cover          37                  
body-servant        1                   
bohan               2                   
boiling             12                  
boiling-plac        1                   
boiling-room        1                   
bon                 97                  
bone                26                  
book                211                 
book-learning       1                   
boot                1                   
bor-ashan           1                   
bottle              18                  
bow                 73                  
bow-cord            2                   
bowman              5                   
bowmen              11                  
box                 3                   
boxed-off           1                   
boxwood             1                   
boy                 50                  
bozez               1                   
bozkath             2                   
bozrah              8                   
branch              129                 
branching           12                  
brass               175                 
bread               326                 
bread-basin         3                   
bread-maker         11                  
bread-making        1                   
bread-meal          1                   
bread-paste         1                   
breast              86                  
breastplat          7                   
breastplate         26                  
breath              75                  
breather            2                   
breathing           17                  
breathing-space     1                   
brick               10                  
brick-making        2                   
brickwork           2                   
brid                5                   
bride               24                  
bride-bed           2                   
bride-feast         4                   
bride-offering      1                   
bride-price         4                   
bride-song          1                   
bride-tent          1                   
bright              59                  
brighter            4                   
brightly            1                   
broken              477                 
broken-hearted      6                   
broom-plant         2                   
brother             919                 
brother-in-law      2                   
brother-man         1                   
brother-prisoner    2                   
brother-servant     2                   
brother-worker      4                   
brow                31                  
brush               1                   
brushed             2                   
brushing            1                   
brushwood           6                   
bucket              2                   
bud                 27                  
budding             1                   
builder             54                  
building            239                 
building-material   1                   
building-paste      2                   
building-stone      1                   
bukki               5                   
bukkiah             2                   
bul                 1                   
bunah               1                   
bunni               3                   
burn                5                   
burned              509                 
burning             346                 
burst               7                   
bursting            13                  
business            107                 
but                 4470                
butter              9                   
buz                 3                   
buzi                1                   
buzite              2                   
by                  4077                
cabbon              1                   
cabul               2                   
caesar              32                  
caesarea            17                  
caiapha             9                   
cain                19                  
cainan              2                   
cak                 68                  
cake                23                  
calah               2                   
calamu              2                   
calcol              2                   
caleb               38                  
called              1                   
calling             1                   
calm                12                  
calmer              1                   
calmly              2                   
calneh              2                   
calno               1                   
came                2744                
camel               59                  
camel-train         3                   
cana                4                   
canaan              98                  
canaanit            48                  
canaanite           16                  
candace             1                   
canneh              1                   
capernaum           16                  
caphtor             3                   
caphtorim           3                   
cappadocia          2                   
captain             308                 
car                 7                   
carbuncl            1                   
carbuncle           1                   
carca               1                   
carchemish          3                   
care                383                 
cared               8                   
caretaker           1                   
carian              2                   
caring              14                  
carmel              27                  
carmelite           4                   
carmi               8                   
carmit              1                   
carnelian           1                   
carpu               1                   
carriag             32                  
carriage            30                  
carriage-hors       1                   
carriage-town       3                   
carriage-wheel      1                   
carshena            1                   
cart                25                  
cart-wheel          2                   
casiphia            2                   
casluhim            2                   
cassia              1                   
cattle              138                 
cattle-food         1                   
cattle-house        2                   
cauda               1                   
caus                10                  
cause               632                 
caused              15                  
causing             158                 
cedar               31                  
cedar-tre           13                  
cedar-tree          1                   
cedar-wood          21                  
cenchrea            1                   
cenchreae           1                   
cepha               9                   
certain             464                 
certainly           141                 
chain               87                  
chain-ornament      1                   
chained             5                   
chaining            3                   
chalcedony          1                   
chaldaea            8                   
chaldaean           77                  
chalde              4                   
chalk               1                   
chameleon           1                   
chanc               5                   
chance              78                  
chang               12                  
change              42                  
changed             133                 
changer             2                   
changing            22                  
cheap               2                   
chebar              8                   
chedorlaomer        5                   
chees               1                   
cheese              1                   
chelal              1                   
chelub              2                   
chelubai            1                   
cheluhi             1                   
chemosh             8                   
chenaanah           5                   
chenani             1                   
chenaniah           3                   
chephar-ammoni      1                   
chephirah           4                   
cheran              1                   
cherethit           11                  
cherith             2                   
cherub              2                   
chesalon            1                   
chesed              1                   
chesil              1                   
chest               12                  
chesulloth          1                   
chezib              1                   
chidon              1                   
chief               553                 
child               315                 
childbirth          16                  
children            1807                
chileab             1                   
chilion             3                   
chimham             4                   
chin                10                  
chinnereth          4                   
chinneroth          3                   
chio                1                   
chislev             2                   
chislon             1                   
chisloth-tabor      1                   
chithlish           1                   
chloe               1                   
chorazin            2                   
christ              531                 
christian           18                  
chrysolite          3                   
chrysoprase         1                   
church              131                 
chuza               1                   
cilicia             8                   
cinnamon            2                   
circl               1                   
circle              19                  
circled             7                   
circling            8                   
circumcision        116                 
circumcision--not   1                   
claudia             1                   
claudiu             3                   
clean               322                 
clean-hearted       1                   
cleaner             3                   
cleaning            7                   
clear               583                 
cleared             1                   
clearing            7                   
clearly             39                  
clement             1                   
cleopa              2                   
cloth               47                  
cloth-worker        5                   
cloth-working       1                   
clothed             83                  
clothing            261                 
cloud               174                 
cloud-burst         1                   
clouded             6                   
cnidu               1                   
co                  1                   
coal                19                  
coat                64                  
